Table with row headings in column A and column headings in rows 3 to 5.																																																						
Table H-8.  Median Household Income by State: 1984 to 2010 (Households as of March of the following year.  Income in current and 2010 CPI-U-RS adjusted dollars28/)																																																						
State	2010		2009 (36)		2008		2007		2006		2005		2004 (35)		2003		2002		2001		2000 (30)		1999 (29)		1998		1997		1996		1995 (25)		1994 (24)		1993 (23)		1992 (22)		1991		1990		1989		1988		1987 (21)		1986		1985 (20)		1984 (19)	
	Median income	Standard error	Median income	Standard error	Median income	Standard error	Median income	Standard error	Median income	Standard error	Median income	Standard error	Median income	Standard error	Median income	Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	  Standard error 	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error	   Median income	 Standard error
																																																						
Current Dollars																																																						
     United States	49,445 	209 	49,777 	213 	50,303 	137 	50,233	140	48,201 	207 	46,326 	155 	44,334 	196 	43,318 	188 	42,409 	139 	42,228 	129 	41,990 	132 	40,696 	190 	38,885 	230 	37,005 	171 	35,492 	179 	34,076 	197 	32,264 	147 	31,241 	146 	30,636 	145 	30,126 	144 	29,943 	153 	28,906 	159 	27,225 	139 	26,061 	127 	24,897 	129 	23,618 	128 	22,415 	102 
Alabama	40,976 	800 	39,980 	904 	44,476 	1,659 	42,212	1,420	37,952 	1,014 	37,150 	1,215 	36,629 	1,303 	37,255 	1,580 	37,603 	1,062 	35,160 	1,006 	35,424 	1,072 	36,251 	1,189 	36,266 	1,307 	31,939 	1,607 	30,302 	1,258 	25,991 	1,266 	27,196 	1,559 	25,082 	1,088 	25,808 	1,058 	24,346 	1,068 	23,357 	1,037 	21,284 	1,070 	19,948 	912 	19,734 	1,147 	19,132 	885 	18,333 	760 	17,310 	605 
Alaska	58,198 	1,681 	61,604 	1,751 	63,989 	2,302 	62,993	1,583	56,418 	1,495 	55,891 	1,331 	55,063 	2,071 	51,837 	981 	52,774 	1,073 	57,363 	2,012 	52,847 	1,159 	51,396 	2,226 	50,692 	2,124 	47,994 	1,258 	52,779 	1,907 	47,954 	2,008 	45,367 	1,494 	42,931 	1,643 	41,802 	1,156 	40,612 	1,822 	39,298 	1,627 	36,006 	1,378 	33,103 	1,183 	33,233 	1,497 	31,356 	1,017 	34,782 	1,089 	32,356 	1,473 
Arizona	47,279 	1,347 	45,739 	1,241 	46,914 	1,125 	47,215	1,555	46,657 	1,246 	45,245 	1,271 	43,846 	1,143 	41,166 	1,422 	39,734 	1,003 	42,704 	1,441 	39,783 	1,210 	36,995 	1,133 	37,090 	1,255 	32,740 	1,297 	31,637 	1,274 	30,863 	1,360 	31,293 	773 	30,510 	1,120 	29,358 	1,088 	30,737 	897 	29,224 	1,141 	28,552 	1,210 	26,435 	843 	26,749 	892 	25,500 	718 	23,877 	744 	21,425 	609 
Arkansas	38,571 	1,307 	36,538 	909 	39,586 	1,194 	40,795	1,348	37,057 	767 	36,658 	1,309 	34,984 	994 	32,002 	776 	32,387 	778 	33,339 	1,144 	29,697 	772 	29,682 	1,026 	27,665 	1,160 	26,162 	1,154 	27,123 	978 	25,814 	999 	25,565 	944 	23,039 	847 	23,882 	1,398 	23,435 	783 	22,786 	981 	21,433 	915 	20,172 	706 	18,827 	1,008 	18,730 	765 	17,451 	764 	15,674 	748 
California	54,459 	770 	56,134 	619 	57,014 	829 	55,734	618	55,319 	695 	51,755 	460 	49,222 	660 	49,300 	819 	47,437 	766 	47,262 	727 	46,816 	686 	43,629 	703 	40,934 	577 	39,694 	864 	38,812 	818 	37,009 	723 	35,331 	619 	34,073 	651 	34,903 	629 	33,664 	685 	33,290 	565 	33,009 	618 	30,287 	634 	30,146 	538 	29,010 	570 	26,981 	350 	25,287 	364 
Colorado	60,442 	1,615 	55,930 	1,595 	60,943 	1,898 	61,141	1,014	55,697 	1,524 	50,449 	1,287 	50,886 	1,590 	49,940 	1,158 	48,294 	1,464 	49,397 	1,190 	48,240 	1,237 	48,177 	1,483 	46,599 	1,086 	43,233 	1,944 	40,950 	1,329 	40,706 	1,552 	37,833 	1,446 	34,488 	1,569 	32,484 	1,471 	31,499 	1,245 	30,733 	906 	26,806 	1,398 	26,214 	1,285 	26,476 	1,075 	27,192 	926 	28,182 	850 	25,801 	805 
