FIPS,State,County,Population,< 18,65 and over,African American,Female,Rural,%Diabetes,HIV rate,Physical Inactivity,mental health provider rate,median household income,% high housing costs,% Free lunch,% child Illiteracy,% Drive Alone
1000,Alabama,,4708708,23.9,13.8,26.1,51.6,44.6,12,,31,20,42586,30,51,14.8,84
1001,Alabama,Autauga,50756,27.8,11.6,18.4,51.4,44.8,11,170,33,2,51622,25,29,12.7,86
1003,Alabama,Baldwin,179878,23.1,17,10,51,54.2,10,176,25,17,51957,29,29,10.6,83
1005,Alabama,Barbour,29737,22.3,13.8,46.6,46.8,71.5,14,331,35,7,30896,36,65,23.2,82
1007,Alabama,Bibb,21587,23.3,13.5,22.3,48,81.5,11,90,37,0,41076,18,48,17.5,83
1009,Alabama,Blount,58345,24.2,14.7,2.1,50.2,91,11,66,35,2,46086,21,37,13.9,80
1011,Alabama,Bullock,10985,24.6,10.8,68.2,44.5,64.7,15,352,32,0,26980,36,92,34.2,83
1013,Alabama,Butler,19964,24.8,16.2,41.9,52.9,74.8,15,209,35,5,31449,31,64,20.6,87
1015,Alabama,Calhoun,114081,23.4,15,20,52.1,31,15,175,32,11,39997,28,45,14.6,86
1017,Alabama,Chambers,34320,22.5,16.8,37.8,52.6,49.8,16,275,36,3,35614,29,60,20.2,85
1019,Alabama,Cherokee,24448,20.9,18.6,5.6,51.4,100,14,63,37,0,38028,24,43,16.4,77
1021,Alabama,Chilton,42971,24.5,13.4,11.4,50.3,88,10,75,32,2,40292,30,42,15.5,79
1023,Alabama,Choctaw,13990,23.3,17.5,43.6,53.1,100,15,201,34,0,30728,21,66,22.5,79
1025,Alabama,Clarke,26042,25.4,15.9,43.6,52.3,74.6,14,87,36,4,34101,27,56,20.8,89
1027,Alabama,Clay,13640,21.3,18.3,15.8,50.6,100,13,85,36,7,33032,24,47,18.2,77
1029,Alabama,Cleburne,14759,23,15.2,4.5,49.6,100,11,114,32,0,37742,25,45,16.7,79
1031,Alabama,Coffee,48635,24,14.3,17.9,51.4,55.9,12,121,30,2,43145,25,36,13.4,84
1033,Alabama,Colbert,54639,22,16.8,16.6,52,46.9,14,95,32,9,39947,26,40,14.6,86
1035,Alabama,Conecuh,12931,23.1,17.8,43.6,52.8,100,15,235,36,8,27068,26,83,22.8,86
1037,Alabama,Coosa,10556,19.9,17.4,30.4,50.2,97.4,13,107,35,0,36050,26,60,21,79
1039,Alabama,Covington,36678,22.6,18.8,13.1,52.1,72,13,113,37,0,33773,27,45,15.5,81
1041,Alabama,Crenshaw,13781,24.2,16.2,25.2,52.3,100,13,173,31,7,34402,24,46,18.8,80
1043,Alabama,Cullman,81778,23.3,15.6,1.7,50.4,75.7,12,48,32,5,39276,27,37,13.4,79
1045,Alabama,Dale,48147,24.9,13,20.6,51.3,55.5,14,225,29,6,42867,22,49,12.9,80
1047,Alabama,Dallas,41925,27,14.8,67.8,54.3,46.6,16,316,35,12,27992,39,76,23.9,83
1049,Alabama,DeKalb,69380,25.5,14.3,2,50.7,88.3,11,70,31,0,35377,25,51,18.1,81
1051,Alabama,Elmore,79233,24.3,12.1,21.8,49.6,61.9,10,179,30,4,53296,25,35,13.3,84
1053,Alabama,Escambia,37434,23,15.2,32.1,49.1,61.4,12,150,34,8,32009,29,56,18.6,84
1055,Alabama,Etowah,103645,23.3,16.2,14.8,52,39.8,12,138,36,10,37264,27,44,14.1,84
1057,Alabama,Fayette,17371,22.1,17.3,12.4,51.4,78.7,13,67,33,6,34092,24,39,16.6,84
1059,Alabama,Franklin,31091,25.2,15,4.4,49.7,71.9,13,48,35,3,35248,23,51,19.5,78
1061,Alabama,Geneva,25961,21.6,17.5,10.5,51.2,87.2,13,106,37,4,32027,25,47,16.1,83
1063,Alabama,Greene,8829,25.4,15.4,79.1,53.4,100,18,198,37,11,26001,38,86,31.2,78
1065,Alabama,Hale,17975,24.9,13.5,57.7,49.6,85,15,160,36,6,31091,30,65,25.7,80
1067,Alabama,Henry,16647,23.2,16.9,30,51.9,100,14,158,31,0,36453,24,55,18.1,90
1069,Alabama,Houston,100085,24.5,15.8,25.9,52.4,34.9,12,329,31,23,42523,26,49,11.9,87
1071,Alabama,Jackson,52838,22.6,16.1,3.8,51.2,76.7,12,52,30,6,36597,26,44,14.9,85
1073,Alabama,Jefferson,665027,23.8,13.6,40.9,52.6,10.8,12,506,29,51,46269,34,42,12.9,84
1075,Alabama,Lamar,14200,21.4,18.2,11.7,51.5,100,13,41,34,0,32424,23,42,17.8,84
1077,Alabama,Lauderdale,89599,21,17.1,10.3,52.3,51.7,13,57,33,9,38592,30,35,13,85
1079,Alabama,Lawrence,34106,22.9,13.5,11.8,50.9,92.5,13,49,31,3,40655,27,39,20.8,85
1081,Alabama,Lee,135883,21.8,8.8,23.6,50.7,32.9,10,138,26,39,41770,37,36,12.8,81
1083,Alabama,Limestone,78572,23.8,11.9,13.5,49.3,67.1,10,126,32,3,46151,24,32,13.7,86
1085,Alabama,Lowndes,12293,25.4,14.1,70.1,53.5,100,17,393,35,0,30225,39,88,28.4,78
1087,Alabama,Macon,21789,20.1,15.6,81.8,54.1,50.2,16,445,34,0,27314,39,98,25.4,76
1089,Alabama,Madison,327744,23.9,12.6,24.3,51.1,22.7,13,193,27,26,55324,24,27,10.1,85
1091,Alabama,Marengo,20943,25.5,15.4,51.1,52.7,70.8,16,120,36,0,32381,34,60,22.5,83
1093,Alabama,Marion,29116,21.7,18.6,4.2,50.3,99.5,12,103,36,0,31602,23,42,15.7,84
