FIPS,State,County,Unreliable,YPLL Rate
1000,Alabama,,,10189
1001,Alabama,Autauga,,9967
1003,Alabama,Baldwin,,8322
1005,Alabama,Barbour,,9559
1007,Alabama,Bibb,,13283
1009,Alabama,Blount,,8475
1011,Alabama,Bullock,,15433
1013,Alabama,Butler,,12652
1015,Alabama,Calhoun,,11720
1017,Alabama,Chambers,,11319
1019,Alabama,Cherokee,,11753
1021,Alabama,Chilton,,12243
1023,Alabama,Choctaw,,10116
1025,Alabama,Clarke,,9455
1027,Alabama,Clay,,9201
1029,Alabama,Cleburne,,9305
1031,Alabama,Coffee,,9527
1033,Alabama,Colbert,,10660
1035,Alabama,Conecuh,,12759
1037,Alabama,Coosa,,12965
1039,Alabama,Covington,,11183
1041,Alabama,Crenshaw,,10062
1043,Alabama,Cullman,,9565
1045,Alabama,Dale,,9477
1047,Alabama,Dallas,,14265
1049,Alabama,DeKalb,,9930
1051,Alabama,Elmore,,8883
1053,Alabama,Escambia,,10843
1055,Alabama,Etowah,,11812
1057,Alabama,Fayette,,11459
1059,Alabama,Franklin,,11478
1061,Alabama,Geneva,,10945
1063,Alabama,Greene,,13573
1065,Alabama,Hale,,11024
1067,Alabama,Henry,,10657
1069,Alabama,Houston,,9060
1071,Alabama,Jackson,,11387
1073,Alabama,Jefferson,,10876
1075,Alabama,Lamar,,9098
1077,Alabama,Lauderdale,,9124
1079,Alabama,Lawrence,,11174
1081,Alabama,Lee,,7578
1083,Alabama,Limestone,,8681
1085,Alabama,Lowndes,,12836
1087,Alabama,Macon,,15907
1089,Alabama,Madison,,8117
1091,Alabama,Marengo,,10715
1093,Alabama,Marion,,11688
1095,Alabama,Marshall,,10666
1097,Alabama,Mobile,,11186
1099,Alabama,Monroe,,9946
1101,Alabama,Montgomery,,10346
1103,Alabama,Morgan,,9216
1105,Alabama,Perry,,14371
1107,Alabama,Pickens,,11067
1109,Alabama,Pike,,11258
1111,Alabama,Randolph,,10687
1113,Alabama,Russell,,12065
1115,Alabama,St. Clair,,9449
1117,Alabama,Shelby,,6592
1119,Alabama,Sumter,,11134
1121,Alabama,Talladega,,11704
1123,Alabama,Tallapoosa,,9889
1125,Alabama,Tuscaloosa,,9758
1127,Alabama,Walker,,15244
1129,Alabama,Washington,,9732
1131,Alabama,Wilcox,,12613
1133,Alabama,Winston,,11287
2000,Alaska,,,7649
2013,Alaska,Aleutians East,x,11800
2016,Alaska,Aleutians West,x,6534
2020,Alaska,Anchorage,,7074
2050,Alaska,Bethel,,12695
2060,Alaska,Bristol Bay,,
2068,Alaska,Denali,,
2070,Alaska,Dillingham,,11109
2090,Alaska,Fairbanks North Star,,6195
2100,Alaska,Haines,,
2110,Alaska,Juneau,,6119
2122,Alaska,Kenai Peninsula,,7702
2130,Alaska,Ketchikan Gateway,,7313
2150,Alaska,Kodiak Island,,6606
2164,Alaska,Lake and Peninsula,,22198
2170,Alaska,Matanuska-Susitna,,7768
2180,Alaska,Nome,,13405
2185,Alaska,North Slope,,11272
2188,Alaska,Northwest Arctic,,14168
2201,Alaska,Prince of Wales-Outer Ketchikan,,8365
2220,Alaska,Sitka,,7711
2232,Alaska,Skagway-Hoonah-Angoon,x,9912
2240,Alaska,Southeast Fairbanks,,5945
2261,Alaska,Valdez-Cordova,,9691
2270,Alaska,Wade Hampton,,15222
2280,Alaska,Wrangell-Petersburg,,8021
2282,Alaska,Yakutat,,
2290,Alaska,Yukon-Koyukuk,,17470
4000,Arizona,,,7498
4001,Arizona,Apache,,13483
4003,Arizona,Cochise,,8150
4005,Arizona,Coconino,,7455
4007,Arizona,Gila,,12020
4009,Arizona,Graham,,9429
4011,Arizona,Greenlee,,8173
4012,Arizona,La Paz,,12369
4013,Arizona,Maricopa,,6863
4015,Arizona,Mohave,,10929
4017,Arizona,Navajo,,12381
4019,Arizona,Pima,,7699
4021,Arizona,Pinal,,9068
4023,Arizona,Santa Cruz,,5655
4025,Arizona,Yavapai,,8050
4027,Arizona,Yuma,,6543
5000,Arkansas,,,9545
5001,Arkansas,Arkansas,,12221
5003,Arkansas,Ashley,,10456
5005,Arkansas,Baxter,,10123
5007,Arkansas,Benton,,6386
5009,Arkansas,Boone,,9573
5011,Arkansas,Bradley,,10024
5013,Arkansas,Calhoun,,11634
5015,Arkansas,Carroll,,8515
5017,Arkansas,Chicot,,12550
5019,Arkansas,Clark,,8670
5021,Arkansas,Clay,,11340
5023,Arkansas,Cleburne,,8525
5025,Arkansas,Cleveland,,8080
5027,Arkansas,Columbia,,10462
5029,Arkansas,Conway,,9245
5031,Arkansas,Craighead,,9751
5033,Arkansas,Crawford,,9696
5035,Arkansas,Crittenden,,12986
5037,Arkansas,Cross,,10167
5039,Arkansas,Dallas,,15578
5041,Arkansas,Desha,,11941
5043,Arkansas,Drew,,11326
5045,Arkansas,Faulkner,,7913
5047,Arkansas,Franklin,,8063
5049,Arkansas,Fulton,,11189
5051,Arkansas,Garland,,10920
5053,Arkansas,Grant,,7210
5055,Arkansas,Greene,,10381
5057,Arkansas,Hempstead,,8859
5059,Arkansas,Hot Spring,,9714
5061,Arkansas,Howard,,9152
5063,Arkansas,Independence,,9099
5065,Arkansas,Izard,,10263
5067,Arkansas,Jackson,,11001
5069,Arkansas,Jefferson,,10915
5071,Arkansas,Johnson,,8632
5073,Arkansas,Lafayette,,10052
5075,Arkansas,Lawrence,,10227
5077,Arkansas,Lee,,10266
5079,Arkansas,Lincoln,,11631
5081,Arkansas,Little River,,9464
5083,Arkansas,Logan,,10353
5085,Arkansas,Lonoke,,9048
5087,Arkansas,Madison,,8857
5089,Arkansas,Marion,,9847
5091,Arkansas,Miller,,9311
5093,Arkansas,Mississippi,,12263
5095,Arkansas,Monroe,,14391
5097,Arkansas,Montgomery,,9106
5099,Arkansas,Nevada,,11130
5101,Arkansas,Newton,,8107
5103,Arkansas,Ouachita,,10858
5105,Arkansas,Perry,,10062
5107,Arkansas,Phillips,,14682
5109,Arkansas,Pike,,8126
